A,-71.08636364,-49.36666667,-62.86956522
B,-76.1375,-55.35652174,-54.875
C,-48.72777778,-66.82352941,-68.06176471
D,-60.45666667,-61.60645161,-62.75666667
E,-62.40740741,-54.06206897,-55.13793103
F,-51.37027027,-72.93333333,-74.01612903
G,0,-60.02,-50.0483871
