00:00:3A:4A:45:3A;2016-10-07T07:39:00Z;2016-10-07T09:03:00Z;2016-10-07T09:03:00Z;2016-10-07T09:03:00Z;2016-10-07T09:03:00Z
00:00:76:97:58:76;2016-10-07T09:15:00Z;2016-10-07T09:29:00Z;2016-10-07T09:29:00Z;2016-10-07T09:29:00Z;2016-10-07T09:29:00Z
00:07:88:AA:59:12;2016-10-07T11:01:00Z;2016-10-07T11:27:00Z;2016-10-07T11:27:00Z;2016-10-07T11:27:00Z;2016-10-07T11:27:00Z
00:08:22:04:2E:3F;2016-10-07T19:43:00Z;2016-10-07T19:43:00Z;2016-10-07T19:51:00Z;2016-10-07T19:51:00Z;2016-10-07T19:51:00Z
00:08:22:29:11:4B;2016-10-07T14:08:00Z;2016-10-07T14:08:00Z;2016-10-07T15:29:00Z;2016-10-07T15:29:00Z;2016-10-07T15:29:00Z
00:08:22:3E:CB:FB;2016-10-07T18:24:00Z;2016-10-07T18:32:00Z;2016-10-07T18:32:00Z;2016-10-07T18:32:00Z;2016-10-07T18:32:00Z
00:08:22:40:E7:FB;2016-10-07T19:20:00Z;2016-10-07T19:20:00Z;2016-10-07T19:56:00Z;2016-10-07T19:56:00Z;2016-10-07T19:56:00Z
00:08:22:5B:0A:07;2016-10-07T09:49:00Z;2016-10-07T09:57:00Z;2016-10-07T09:57:00Z;2016-10-07T09:57:00Z;2016-10-07T09:57:00Z
00:08:22:9E:6A:FC;2016-10-07T21:26:00Z;2016-10-07T21:26:00Z;2016-10-07T22:12:00Z;2016-10-07T22:12:00Z;2016-10-07T22:12:00Z
00:0A:F5:8A:DE:AC;2016-10-07T08:49:00Z;2016-10-07T08:49:00Z;2016-10-07T08:51:00Z;2016-10-07T10:15:00Z;2016-10-07T10:19:00Z
00:12:22:FA:10:17;2016-10-07T20:36:00Z;2016-10-07T20:50:00Z;2016-10-07T20:53:00Z;2016-10-07T21:26:00Z;2016-10-07T21:26:00Z
00:18:60:77:98:CE;2016-10-07T13:06:00Z;2016-10-07T13:06:00Z;2016-10-07T13:33:00Z;2016-10-07T13:33:00Z;2016-10-07T13:33:00Z
